dataset	dataset_label	method	method_label	seed	run_name	params_total	params_trainable	method_params	param_kind	artifact_variant	artifact_dataset	artifact_seed	map_macro	map_L1	map_L2	map_L3	map_weighted	f1	macro_f1	acc	auc	macro_auc	loss	nll	ece	calibration_mode	precision	recall	kappa_quad	kappa_lin	balanced_acc	binary_f1	binary_auc
cam16	CAMELYON16	gated_post_attention	Gated SRP	44	classification_cam16_gated_post_attention_s44	7723343	7723343	333	gate_params									0.9806797853309481		0.9814814814814815	0.9985795454545454		0.04236905022413272	0.042369046081762944	0.023146018680817997	multiclass	0.9848484848484849	0.9772727272727273	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	gated_post_attention	Gated SRP	45	classification_cam16_gated_post_attention_s45	7723343	7723343	333	gate_params									1.0		1.0	1.0		0.0015557475174621989	0.001555744298765277	0.0015529416145299013	multiclass	1.0	1.0	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam16	CAMELYON16	gated_post_attention	Gated SRP	46	classification_cam16_gated_post_attention_s46	7723343	7723343	333	gate_params									0.9428571428571428		0.9444444444444444	0.9971590909090909		0.18327741492086919	0.1832774145844033	0.039699142515795406	multiclass	0.9403927068723703	0.9460227272727273	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	baseline	NA	42	classification_cam17_baseline_s42	7723780	7723780	0	ab_params									0.7115430562623342		0.8888888888888888	0.9249747917266772		0.5553473210152746	0.5553473155184655	0.10307811233879852	multiclass	0.7319965017491254	0.7001358695652173	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	baseline	NA	43	classification_cam17_baseline_s43	7723780	7723780	0	ab_params									0.7693745039245083		0.91	0.9078803857069143		0.5072590618114918	0.5072590584872974	0.07465371637191724	multiclass	0.7674274255156608	0.779656862745098	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	baseline	NA	44	classification_cam17_baseline_s44	7723780	7723780	0	ab_params									0.8022131976014251		0.9393939393939394	0.9498851794757748		0.308795298532009	0.30879530151630225	0.06273547684737694	multiclass	0.8194444444444444	0.7971988795518207	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	baseline	NA	45	classification_cam17_baseline_s45	7723780	7723780	0	ab_params									0.820552648790059		0.91	0.9770827412569427		0.40487220618641007	0.404872209890014	0.08303927062894495	multiclass	0.7999851455733809	0.8615565185987721	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	baseline	NA	46	classification_cam17_baseline_s46	7723780	7723780	0	ab_params									0.8144991867714828		0.89	0.974990756161761		0.30966106184292586	0.30966105760982937	0.08053343117962489	multiclass	0.8197916666666667	0.8110404896421846	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	xsa_all_ref	XSA	42	classification_cam17_xsa_all_ref_s42	7723780	7723780	0	ab_params									0.6938459236458466		0.8787878787878788	0.896988984312415		0.4769750820764463	0.4769750758292509	0.10171231478376225	multiclass	0.7064012636538873	0.6845108695652173	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	xsa_all_ref	XSA	43	classification_cam17_xsa_all_ref_s43	7723780	7723780	0	ab_params									0.7349206349206349		0.89	0.9276553411436346		0.495024367372389	0.49502437609645483	0.09475946159043491	multiclass	0.7407131011608623	0.7551470588235294	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
