experiment	cohort	endpoint	method	arm	seed	split_mode	global_seed	beta	gate_hidden_dim	selection_status	best_epoch	val_case_c_index	val_slide_c_index	val_loss	test_case_c_index	test_slide_c_index	test_loss	test_n_cases	test_n_events	train_cases	val_cases	test_cases	run_name
survival_tasks	KIRP	OS	Diff	diff_transformer	43	global_seed_holdout	43			not_applicable	3	0.8048780487804879	0.8072289156626506	0.9996792457299307	0.7392996108949417	0.6963696369636964	0.8497226820694969	56	9	187	29	56	survival_kirp_diff_transformer_s43
survival_tasks	KIRP	OS	NA	baseline	44	global_seed_holdout	44	0	0	not_applicable	4	0.8717948717948718	0.8717948717948718	1.0482231987929294	0.7816091954022989	0.7881040892193308	0.9619415214391458	56	9	187	29	56	survival_kirp_baseline_s44
survival_tasks	KIRP	OS	XSA	xsa_all_ref	44	global_seed_holdout	44			not_applicable	4	0.9102564102564102	0.9102564102564102	1.0461533114169563	0.7279693486590039	0.7323420074349443	0.9405875416521571	56	9	187	29	56	survival_kirp_xsa_all_ref_s44
survival_tasks	KIRP	OS	Diff	diff_transformer	44	global_seed_holdout	44			not_applicable	4	0.8974358974358975	0.8974358974358975	0.9953551569768903	0.6781609195402298	0.6654275092936803	0.8498041415893424	56	9	187	29	56	survival_kirp_diff_transformer_s44
survival_tasks	KIRP	OS	NA	baseline	45	global_seed_holdout	45	0	0	not_applicable	4	0.9135802469135802	0.9083969465648855	1.360964300201064	0.6751824817518248	0.6702127659574468	0.9942124689274853	56	9	187	29	56	survival_kirp_baseline_s45
survival_tasks	KIRP	OS	XSA	xsa_all_ref	45	global_seed_holdout	45			not_applicable	3	0.7777777777777778	0.8473282442748091	1.0504661494896057	0.5948905109489051	0.5957446808510638	1.052112425936402	56	9	187	29	56	survival_kirp_xsa_all_ref_s45
survival_tasks	KIRP	OS	Diff	diff_transformer	45	global_seed_holdout	45			not_applicable	3	0.7777777777777778	0.8320610687022901	1.270512553927068	0.5620437956204379	0.5673758865248227	0.9185002456009709	56	9	187	29	56	survival_kirp_diff_transformer_s45
survival_tasks	KIRP	OS	NA	baseline	46	global_seed_holdout	46	0	0	not_applicable	2	0.96	0.85	1.2905233965368208	0.8070866141732284	0.8083623693379791	0.7325858246076677	56	9	187	29	56	survival_kirp_baseline_s46
survival_tasks	KIRP	OS	XSA	xsa_all_ref	46	global_seed_holdout	46			not_applicable	3	0.9333333333333333	0.66875	1.3755102161508561	0.7519685039370079	0.7700348432055749	0.8176960449054604	56	9	187	29	56	survival_kirp_xsa_all_ref_s46
survival_tasks	KIRP	OS	Diff	diff_transformer	46	global_seed_holdout	46			not_applicable	1	0.8933333333333333	0.91875	1.1559110138791078	0.7362204724409449	0.7038327526132404	0.7174473783525173	56	9	187	29	56	survival_kirp_diff_transformer_s46
