config_or_method	KIRP_C	LUAD_C	STAD_C	KGH_F1	KGH_Acc	KGH_AUC	PANDA_kappa_quad	PANDA_F1	PANDA_Acc	PANDA_AUC	BRACS_F1	BRACS_Acc	BRACS_AUC
Token only	0.7038	0.5471	0.5722	0.8301	0.8325	0.9602	0.8793	0.6641	0.7248	0.9280	0.4312	0.5530	0.8458
Head only	0.7171	0.5815	0.5923	0.8353	0.8373	0.9610	0.8774	0.6687	0.7261	0.9218	0.4471	0.5640	0.8499
No bias	0.7087	0.5922	0.5947	0.8111	0.8157	0.9621	0.8784	0.6842	0.7335	0.9342	0.4146	0.5512	0.8481
Full gate	0.7648	0.5832	0.6171	0.8544	0.8566	0.9695	0.8842	0.6932	0.7461	0.9292	0.4424	0.5603	0.8454
