dataset	architecture	variant	seed	primary_metric	value
STAD	Dense MHSA	gated_srp	44	case_c_index	0.520590
STAD	Dense MHSA	gated_srp	45	case_c_index	0.559119
STAD	Dense MHSA	gated_srp	46	case_c_index	0.479566
PANDA	SPAN	baseline	42	kappa_quad	0.866609
PANDA	SPAN	baseline	43	kappa_quad	0.864071
PANDA	SPAN	baseline	44	kappa_quad	0.872821
PANDA	SPAN	baseline	45	kappa_quad	0.886042
PANDA	SPAN	baseline	46	kappa_quad	0.871637
PANDA	SPAN	gated_srp	42	kappa_quad	0.869578
PANDA	SPAN	gated_srp	43	kappa_quad	0.875088
PANDA	SPAN	gated_srp	44	kappa_quad	0.873395
PANDA	SPAN	gated_srp	45	kappa_quad	0.864806
PANDA	SPAN	gated_srp	46	kappa_quad	0.876152
PANDA	Prov-GigaPath LongNet	baseline	42	kappa_quad	0.868837
PANDA	Prov-GigaPath LongNet	baseline	43	kappa_quad	0.880977
PANDA	Prov-GigaPath LongNet	baseline	44	kappa_quad	0.885444
PANDA	Prov-GigaPath LongNet	baseline	45	kappa_quad	0.891996
PANDA	Prov-GigaPath LongNet	baseline	46	kappa_quad	0.872986
PANDA	Prov-GigaPath LongNet	gated_srp	42	kappa_quad	0.867516
PANDA	Prov-GigaPath LongNet	gated_srp	43	kappa_quad	0.875535
PANDA	Prov-GigaPath LongNet	gated_srp	44	kappa_quad	0.880062
PANDA	Prov-GigaPath LongNet	gated_srp	45	kappa_quad	0.901451
PANDA	Prov-GigaPath LongNet	gated_srp	46	kappa_quad	0.859118
PANDA	Dense MHSA	baseline	42	kappa_quad	0.863414
PANDA	Dense MHSA	baseline	43	kappa_quad	0.884577
PANDA	Dense MHSA	baseline	44	kappa_quad	0.872582
PANDA	Dense MHSA	baseline	45	kappa_quad	0.890920
PANDA	Dense MHSA	baseline	46	kappa_quad	0.871842
PANDA	Dense MHSA	gated_srp	42	kappa_quad	0.877432
PANDA	Dense MHSA	gated_srp	43	kappa_quad	0.871228
PANDA	Dense MHSA	gated_srp	44	kappa_quad	0.877156
PANDA	Dense MHSA	gated_srp	45	kappa_quad	0.878619
PANDA	Dense MHSA	gated_srp	46	kappa_quad	0.876401
BRACS	SPAN	baseline	42	f1	0.414917
BRACS	SPAN	baseline	43	f1	0.370228
BRACS	SPAN	baseline	44	f1	0.407955
BRACS	SPAN	baseline	45	f1	0.522166
BRACS	SPAN	baseline	46	f1	0.445058
BRACS	SPAN	gated_srp	42	f1	0.287370
BRACS	SPAN	gated_srp	43	f1	0.412954
BRACS	SPAN	gated_srp	44	f1	0.431128
BRACS	SPAN	gated_srp	45	f1	0.520128
BRACS	SPAN	gated_srp	46	f1	0.323168
BRACS	Prov-GigaPath LongNet	baseline	42	f1	0.415654
BRACS	Prov-GigaPath LongNet	baseline	43	f1	0.336470
BRACS	Prov-GigaPath LongNet	baseline	44	f1	0.452677
BRACS	Prov-GigaPath LongNet	baseline	45	f1	0.410481
BRACS	Prov-GigaPath LongNet	baseline	46	f1	0.401015
BRACS	Prov-GigaPath LongNet	gated_srp	42	f1	0.395719
BRACS	Prov-GigaPath LongNet	gated_srp	43	f1	0.421317
BRACS	Prov-GigaPath LongNet	gated_srp	44	f1	0.413563
BRACS	Prov-GigaPath LongNet	gated_srp	45	f1	0.385275
BRACS	Prov-GigaPath LongNet	gated_srp	46	f1	0.304104
BRACS	Dense MHSA	baseline	42	f1	0.388649
BRACS	Dense MHSA	baseline	43	f1	0.337504
BRACS	Dense MHSA	baseline	44	f1	0.485340
BRACS	Dense MHSA	baseline	45	f1	0.534604
BRACS	Dense MHSA	baseline	46	f1	0.328504
BRACS	Dense MHSA	gated_srp	42	f1	0.428134
BRACS	Dense MHSA	gated_srp	43	f1	0.336522
BRACS	Dense MHSA	gated_srp	44	f1	0.466212
BRACS	Dense MHSA	gated_srp	45	f1	0.542290
BRACS	Dense MHSA	gated_srp	46	f1	0.364986
